label,,start,end
源頼朝,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Minamoto_no_Yoritomo.jpg/160px-Minamoto_no_Yoritomo.jpg,1192-07-12,1199-01-13
源頼家,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Minamoto_no_Yoriie.jpg/160px-Minamoto_no_Yoriie.jpg,1202-07-22,1203-09-07
源実朝,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Minamoto_no_Sanetomo.jpg/160px-Minamoto_no_Sanetomo.jpg,1203-09-07,1219-01-27
藤原頼経,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Kuj%C5%8D_Yoritsune.jpg/160px-Kuj%C5%8D_Yoritsune.jpg,1226-01-27,1244-04-28
藤原頼嗣,,1244-04-28,1252-02-20
宗尊親王,,1252-04-01,1266-07-20
惟康親王,,1266-07-24,1289-09-14
